Categoría,iAp,iAr,S,fn,E,fp,p+,p-,ROC
abw,0.48333333333333334,0.9666666666666667,0.0,0.0,0.9666666666666667,0.03333333331111111,0.0,1.0,0.48333333333333334
adw,0.45,0.9,0.0,0.9999999900000002,0.9642857142857143,0.03571428568877551,0.0,0.9310344827586207,0.48214285714285715
bcf,0.4888888888888889,0.9777777777777777,1.0,0.0,0.9761904761904762,0.023809523792517,0.75,1.0,0.9880952380952381
bfb,0.46111111111111114,0.9222222222222223,0.3333333333333333,0.6666666600000002,0.9642857142857143,0.03571428568877551,0.4,0.9529411764705883,0.6488095238095238
bff,0.4888888888888889,0.9777777777777777,1.0,0.0,0.9761904761904762,0.023809523792517,0.75,1.0,0.9880952380952381
bpf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
fddf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
lu,0.43333333333333335,0.8666666666666667,0.0,0.9999999900000002,0.9285714285714286,0.07142857137755101,0.0,0.9285714285714286,0.4642857142857143
pc,0.4222222222222223,0.8444444444444446,0.0,0.9999999900000002,0.9047619047619048,0.09523809517006801,0.0,0.926829268292683,0.4523809523809524
sbut,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
sf,0.4888888888888889,0.9777777777777777,1.0,0.0,0.9761904761904762,0.023809523792517,0.75,1.0,0.9880952380952381
tbf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tdf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
tff,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
tpf,0.48333333333333334,0.9666666666666667,0.5,0.4999999950000001,1.0,0.0,1.0,0.9655172413793104,0.75
twdf,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
ur,0.4888888888888889,0.9777777777777777,0.0,0.0,0.9777777777777777,0.022222222207407404,0.0,1.0,0.4888888888888889
